         tabla         |                 conname                 |                                        definicion                                         
-----------------------+-----------------------------------------+-------------------------------------------------------------------------------------------
 productos_fracciones  | productos_fracciones_producto_id_fkey   | FOREIGN KEY (producto_id) REFERENCES productos(id) ON DELETE CASCADE
 inventario            | inventario_producto_id_fkey             | FOREIGN KEY (producto_id) REFERENCES productos(id) ON DELETE CASCADE
 ventas                | ventas_cliente_id_fkey                  | FOREIGN KEY (cliente_id) REFERENCES clientes(id)
 ventas                | ventas_usuario_id_fkey                  | FOREIGN KEY (usuario_id) REFERENCES usuarios(id)
 ventas_detalle        | ventas_detalle_venta_id_fkey            | FOREIGN KEY (venta_id) REFERENCES ventas(id) ON DELETE CASCADE
 ventas_detalle        | ventas_detalle_producto_id_fkey         | FOREIGN KEY (producto_id) REFERENCES productos(id)
 gastos                | gastos_usuario_id_fkey                  | FOREIGN KEY (usuario_id) REFERENCES usuarios(id)
 facturas_proveedores  | facturas_proveedores_usuario_id_fkey    | FOREIGN KEY (usuario_id) REFERENCES usuarios(id)
 facturas_abonos       | facturas_abonos_factura_id_fkey         | FOREIGN KEY (factura_id) REFERENCES facturas_proveedores(id) ON DELETE CASCADE
 compras               | compras_usuario_id_fkey                 | FOREIGN KEY (usuario_id) REFERENCES usuarios(id)
 compras               | compras_producto_id_fkey                | FOREIGN KEY (producto_id) REFERENCES productos(id)
 compras               | compras_compra_fiscal_id_fkey           | FOREIGN KEY (compra_fiscal_id) REFERENCES compras_fiscal(id) ON DELETE SET NULL
 compras               | compras_factura_proveedor_id_fkey       | FOREIGN KEY (factura_proveedor_id) REFERENCES facturas_proveedores(id) ON DELETE SET NULL
 facturas_electronicas | facturas_electronicas_venta_id_fkey     | FOREIGN KEY (venta_id) REFERENCES ventas(id) ON DELETE SET NULL
 compras_fiscal        | compras_fiscal_producto_id_fkey         | FOREIGN KEY (producto_id) REFERENCES productos(id)
 compras_fiscal        | fk_compras_fiscal_usuario               | FOREIGN KEY (usuario_id) REFERENCES usuarios(id) ON DELETE SET NULL
 compras_fiscal        | compras_fiscal_compra_origen_id_fkey    | FOREIGN KEY (compra_origen_id) REFERENCES compras(id) ON DELETE SET NULL
 fiados                | fiados_new_cliente_id_fkey              | FOREIGN KEY (cliente_id) REFERENCES clientes(id)
 documentos_soporte    | documentos_soporte_cuenta_cobro_id_fkey | FOREIGN KEY (cuenta_cobro_id) REFERENCES cuentas_cobro(id)
 fiados_movimientos    | fiados_movimientos_fiado_id_fkey        | FOREIGN KEY (fiado_id) REFERENCES fiados(id) ON DELETE CASCADE
(20 filas)

