         tablename          |                    indexname                    |                                                                            indexdef                                                                            
----------------------------+-------------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------
 alembic_version            | alembic_version_pkc                             | CREATE UNIQUE INDEX alembic_version_pkc ON public.alembic_version USING btree (version_num)
 aliases                    | aliases_pkey                                    | CREATE UNIQUE INDEX aliases_pkey ON public.aliases USING btree (termino)
 api_costo_diario           | api_costo_diario_vendedor_idx                   | CREATE INDEX api_costo_diario_vendedor_idx ON public.api_costo_diario USING btree (vendedor_id, fecha DESC)
 api_costo_diario           | api_costo_diario_pkey                           | CREATE UNIQUE INDEX api_costo_diario_pkey ON public.api_costo_diario USING btree (id)
 api_costo_diario           | api_costo_diario_fecha_vendedor_id_modelo_key   | CREATE UNIQUE INDEX api_costo_diario_fecha_vendedor_id_modelo_key ON public.api_costo_diario USING btree (fecha, vendedor_id, modelo)
 api_costo_diario           | api_costo_diario_fecha_idx                      | CREATE INDEX api_costo_diario_fecha_idx ON public.api_costo_diario USING btree (fecha DESC)
 audio_logs                 | audio_logs_pkey                                 | CREATE UNIQUE INDEX audio_logs_pkey ON public.audio_logs USING btree (id)
 audio_logs                 | audio_logs_canal_fecha_idx                      | CREATE INDEX audio_logs_canal_fecha_idx ON public.audio_logs USING btree (canal, fecha DESC)
 audio_logs                 | audio_logs_turn_id_idx                          | CREATE INDEX audio_logs_turn_id_idx ON public.audio_logs USING btree (turn_id)
 audio_logs                 | audio_logs_fecha_idx                            | CREATE INDEX audio_logs_fecha_idx ON public.audio_logs USING btree (fecha DESC)
 bancolombia_transferencias | bancolombia_transferencias_pkey                 | CREATE UNIQUE INDEX bancolombia_transferencias_pkey ON public.bancolombia_transferencias USING btree (id)
 bancolombia_transferencias | idx_bancolombia_transferencias_fecha            | CREATE INDEX idx_bancolombia_transferencias_fecha ON public.bancolombia_transferencias USING btree (fecha DESC)
 bancolombia_transferencias | bancolombia_transferencias_gmail_message_id_key | CREATE UNIQUE INDEX bancolombia_transferencias_gmail_message_id_key ON public.bancolombia_transferencias USING btree (gmail_message_id)
 caja                       | caja_pkey                                       | CREATE UNIQUE INDEX caja_pkey ON public.caja USING btree (id)
 caja                       | caja_fecha_key                                  | CREATE UNIQUE INDEX caja_fecha_key ON public.caja USING btree (fecha)
 clientes                   | clientes_pkey                                   | CREATE UNIQUE INDEX clientes_pkey ON public.clientes USING btree (id)
 compras                    | idx_compras_factura_proveedor                   | CREATE INDEX idx_compras_factura_proveedor ON public.compras USING btree (factura_proveedor_id) WHERE (factura_proveedor_id IS NOT NULL)
 compras                    | idx_compras_usuario_id                          | CREATE INDEX idx_compras_usuario_id ON public.compras USING btree (usuario_id)
 compras                    | compras_pkey                                    | CREATE UNIQUE INDEX compras_pkey ON public.compras USING btree (id)
 compras                    | idx_compras_sin_factura                         | CREATE INDEX idx_compras_sin_factura ON public.compras USING btree (proveedor, fecha) WHERE (factura_proveedor_id IS NULL)
 compras_fiscal             | idx_compras_fiscal_evento_estado                | CREATE INDEX idx_compras_fiscal_evento_estado ON public.compras_fiscal USING btree (evento_estado)
 compras_fiscal             | compras_fiscal_pkey                             | CREATE UNIQUE INDEX compras_fiscal_pkey ON public.compras_fiscal USING btree (id)
 compras_fiscal             | idx_compras_fiscal_fecha                        | CREATE INDEX idx_compras_fiscal_fecha ON public.compras_fiscal USING btree (fecha)
 compras_fiscal             | idx_compras_fiscal_iva                          | CREATE INDEX idx_compras_fiscal_iva ON public.compras_fiscal USING btree (incluye_iva, tarifa_iva) WHERE (incluye_iva = true)
 compras_fiscal             | idx_compras_fiscal_origen                       | CREATE INDEX idx_compras_fiscal_origen ON public.compras_fiscal USING btree (compra_origen_id) WHERE (compra_origen_id IS NOT NULL)
 compras_fiscal             | idx_compras_fiscal_gmail_msg                    | CREATE UNIQUE INDEX idx_compras_fiscal_gmail_msg ON public.compras_fiscal USING btree (gmail_message_id, producto_nombre) WHERE (gmail_message_id IS NOT NULL)
 compras_fiscal             | idx_compras_fiscal_gmail_not_null               | CREATE INDEX idx_compras_fiscal_gmail_not_null ON public.compras_fiscal USING btree (created_at DESC) WHERE (gmail_message_id IS NOT NULL)
